feature,score
去重后放款后可用余额max与放款后预借现金额度max差值与去重后放款前可用余额max与放款前预借现金额度max差值差值,70
放款后可用余额median与放款后预借现金额度median差值,69
放款前循环利息median,69
78,69
269,68
278,68
去重后放款后可用余额var与去重后放款前可用余额var差值,68
152,68
用户放款后循环利息(去重),67
放款前可用余额min,67
去重后放款后循环利息var,67
40,67
去重后放款前可用余额max,66
去重后放款后消费笔数median与去重后放款前消费笔数median差值,65
18,65
去重后放款前上期还款金额count,64
31,64
去重后放款后可用余额median与放款后预借现金额度median差值,63
老段子特征1,63
去重后放款后循环利息mean,63
放款后循环利息mean,62
放款后账单大于还款计数(去重),62
去重后放款后信用卡额度max与去重后放款前信用卡额度max差值,61
放款后消费笔数max,60
74,59
179,58
90,57
去重后放款后预借现金额度max与去重后放款前预借现金额度max差值,56
